year,type,details,country,location
513,Omen,Three-Headed Baby,Persia,Central Persia
513,Disaster,Pillaged By Rome,Persia,Outer Persia
513,Omen,Moon Turns Red,Britannia,Britannia
514,Omen,Moon Turns Red,Persia,Outer Persia
514,Disaster,Pillaged By Rome,Britannia,Britannia
514,Omen,Geese Flying Backwards,Germania,South Germania
515,Omen,Geese Flying Backwards,Rome,Grecia
516,Omen,Geese Flying Backwards,Rome,Italia
516,Omen,Moon Turns Red,Rome,Italia
516,Disaster,Fire,Persia,Central Persia
516,Omen,Geese Flying Backwards,Germania,South Germania
517,Disaster,Famine,Rome,Italia
517,Omen,Rivers of Blood,Rome,Gallia
517,Omen,Three-Headed Baby,Persia,Outer Persia
517,Disaster,Famine,Germania,South Germania
518,Omen,Moon Turns Red,Rome,Italia
518,Omen,Geese Flying Backwards,Rome,Grecia
518,Disaster,Fire,Britannia,Britannia
519,Disaster,Plague,Rome,Italia
519,Disaster,Famine,Rome,Grecia
519,Disaster,Fire,Germania,North Germania
520,Omen,Three-Headed Baby,Persia,Outer Persia
520,Omen,Moon Turns Red,Persia,North Persia
521,Omen,Three-Headed Baby,Persia,Central Persia
521,Disaster,Fire,Persia,Central Persia
521,Disaster,Fire,Persia,Outer Persia
521,Omen,Geese Flying Backwards,Germania,South Germania
522,Disaster,Fire,Rome,Gallia
523,Omen,Moon Turns Red,Rome,Grecia
523,Omen,Flaming Comet,Germania,North Germania
523,Disaster,Famine,Germania,South Germania
524,Omen,Geese Flying Backwards,Rome,Italia
524,Omen,Rivers of Blood,Persia,North Persia
524,Disaster,Pillaged By Persia,Germania,North Germania
525,Omen,Geese Flying Backwards,Rome,Italia
525,Omen,Geese Flying Backwards,Germania,South Germania
526,Disaster,Famine,Germania,North Germania
527,Omen,Rivers of Blood,Rome,Italia
527,Omen,Moon Turns Red,Rome,Italia
527,Disaster,Famine,Rome,Italia
527,Omen,Moon Turns Red,Rome,Gallia
527,Disaster,Pillaged By Rome,Britannia,Britannia
527,Omen,Sun Goes Dark,Germania,North Germania
528,Omen,Sun Goes Dark,Rome,Italia
528,Disaster,Plague,Rome,Italia
528,Disaster,Plague,Rome,Gallia
528,Omen,Rivers of Blood,Persia,Central Persia
528,Omen,Geese Flying Backwards,Germania,North Germania
528,Disaster,Pillaged By Britannia,Germania,North Germania
528,Omen,Geese Flying Backwards,Germania,South Germania
529,Disaster,Pillaged By Germania,Rome,Italia
529,Disaster,Plague,Rome,Grecia
529,Omen,Sun Goes Dark,Britannia,Britannia
529,Disaster,Plague,Britannia,Britannia
529,Omen,Moon Turns Red,Germania,North Germania
529,Disaster,Famine,Germania,South Germania
530,Disaster,Plague,Persia,Outer Persia
530,Omen,Moon Turns Red,Persia,North Persia
530,Disaster,Plague,Germania,North Germania
531,Omen,Rivers of Blood,Persia,Central Persia
531,Disaster,Plague,Persia,North Persia
531,Disaster,Pillaged By Britannia,Germania,North Germania
531,Omen,Geese Flying Backwards,Germania,South Germania
532,Omen,Geese Flying Backwards,Rome,Grecia
532,Disaster,Plague,Persia,Central Persia
532,Disaster,Fire,Germania,North Germania
532,Omen,Moon Turns Red,Germania,South Germania
533,Omen,Three-Headed Baby,Rome,Grecia
533,Omen,Rivers of Blood,Persia,Outer Persia
533,Disaster,Plague,Germania,South Germania
534,Omen,Rivers of Blood,Rome,Italia
534,Disaster,Plague,Rome,Italia
534,Disaster,Plague,Rome,Gallia
534,Disaster,Famine,Rome,Grecia
534,Omen,Moon Turns Red,Persia,Central Persia
535,Omen,Moon Turns Red,Persia,Outer Persia
537,Omen,Moon Turns Red,Germania,North Germania
537,Disaster,Pillaged By Persia,Germania,North Germania
538,Omen,Geese Flying Backwards,Rome,Grecia
538,Disaster,Plague,Germania,North Germania
538,Omen,Rivers of Blood,Germania,South Germania
539,Disaster,Pillaged By Germania,Rome,Gallia
539,Disaster,Pillaged By Persia,Rome,Grecia
539,Omen,Moon Turns Red,Persia,Central Persia
539,Omen,Moon Turns Red,Persia,North Persia
539,Disaster,Plague,Persia,North Persia
539,Omen,Three-Headed Baby,Britannia,Britannia
539,Disaster,Plague,Britannia,Britannia
539,Omen,Moon Turns Red,Germania,North Germania
540,Omen,Geese Flying Backwards,Rome,Grecia
540,Disaster,Plague,Persia,Central Persia
541,Disaster,Fire,Rome,Italia
541,Omen,Rivers of Blood,Rome,Gallia
541,Disaster,Pillaged By Rome,Persia,Outer Persia
541,Omen,Geese Flying Backwards,Persia,North Persia
542,Omen,Geese Flying Backwards,Rome,Grecia
542,Disaster,Famine,Persia,North Persia
542,Disaster,Pillaged By Rome,Britannia,Britannia
542,Disaster,Pillaged By Rome,Germania,South Germania
543,Disaster,Famine,Rome,Grecia
543,Omen,Moon Turns Red,Germania,North Germania
543,Omen,Geese Flying Backwards,Germania,South Germania
544,Disaster,Fire,Persia,Outer Persia
544,Omen,Geese Flying Backwards,Persia,North Persia
544,Omen,Three-Headed Baby,Britannia,Britannia
544,Disaster,Pillaged By Germania,Britannia,Britannia
544,Omen,Geese Flying Backwards,Germania,South Germania
545,Disaster,Fire,Rome,Gallia
545,Disaster,Famine,Germania,South Germania
546,Disaster,Pillaged By Persia,Rome,Grecia
546,Omen,Moon Turns Red,Persia,North Persia
546,Omen,Geese Flying Backwards,Britannia,Britannia
546,Omen,Rivers of Blood,Germania,North Germania
547,Omen,Geese Flying Backwards,Persia,Outer Persia
547,Omen,Geese Flying Backwards,Persia,North Persia
548,Disaster,Fire,Rome,Italia
548,Omen,Geese Flying Backwards,Persia,Outer Persia
548,Disaster,Famine,Persia,North Persia
548,Omen,Moon Turns Red,Germania,South Germania
549,Omen,Moon Turns Red,Rome,Grecia
549,Omen,Geese Flying Backwards,Persia,Outer Persia
549,Disaster,Plague,Germania,South Germania
550,Omen,Rivers of Blood,Rome,Gallia
550,Disaster,Plague,Rome,Grecia
550,Omen,Geese Flying Backwards,Persia,Outer Persia
550,Disaster,Fire,Germania,North Germania
551,Disaster,Plague,Rome,Italia
551,Omen,Rivers of Blood,Britannia,Britannia
551,Disaster,Pillaged By Britannia,Germania,North Germania
552,Omen,Flaming Comet,Rome,Italia
553,Omen,Rivers of Blood,Rome,Italia
553,Omen,Moon Turns Red,Rome,Grecia
553,Omen,Rivers of Blood,Persia,Outer Persia
553,Omen,Geese Flying Backwards,Persia,North Persia
553,Omen,Three-Headed Baby,Britannia,Britannia
553,Omen,Rivers of Blood,Britannia,Britannia
554,Disaster,Famine,Persia,North Persia
554,Omen,Three-Headed Baby,Britannia,Britannia
555,Omen,Three-Headed Baby,Persia,Central Persia
555,Omen,Geese Flying Backwards,Persia,North Persia
555,Omen,Moon Turns Red,Britannia,Britannia
556,Omen,Moon Turns Red,Persia,Central Persia
556,Omen,Flaming Comet,Persia,Outer Persia
556,Omen,Three-Headed Baby,Germania,North Germania
557,Omen,Moon Turns Red,Rome,Italia
557,Disaster,Plague,Persia,Central Persia
557,Omen,Geese Flying Backwards,Persia,North Persia
557,Disaster,Pillaged By Germania,Britannia,Britannia
558,Disaster,Plague,Persia,Outer Persia
558,Disaster,Plague,Persia,North Persia
558,Omen,Moon Turns Red,Germania,North Germania
558,Disaster,Pillaged By Rome,Germania,South Germania
559,Omen,Rivers of Blood,Rome,Gallia
559,Omen,Three-Headed Baby,Rome,Grecia
559,Disaster,Plague,Rome,Grecia
559,Omen,Rivers of Blood,Britannia,Britannia
559,Disaster,Plague,Germania,North Germania
560,Omen,Rivers of Blood,Persia,Central Persia
560,Disaster,Pillaged By Rome,Persia,Outer Persia
561,Omen,Rivers of Blood,Rome,Gallia
561,Omen,Three-Headed Baby,Britannia,Britannia
562,Omen,Three-Headed Baby,Rome,Italia
562,Disaster,Pillaged By Germania,Persia,North Persia
563,Omen,Rivers of Blood,Persia,Central Persia
563,Omen,Moon Turns Red,Persia,Outer Persia
563,Omen,Moon Turns Red,Persia,North Persia
563,Omen,Geese Flying Backwards,Germania,North Germania
564,Omen,Geese Flying Backwards,Persia,North Persia
564,Disaster,Plague,Persia,North Persia
564,Disaster,Fire,Britannia,Britannia
564,Omen,Geese Flying Backwards,Germania,North Germania
565,Omen,Rivers of Blood,Rome,Italia
565,Omen,Geese Flying Backwards,Persia,North Persia
565,Omen,Geese Flying Backwards,Germania,North Germania
565,Disaster,Plague,Germania,North Germania
565,Omen,Moon Turns Red,Germania,South Germania
566,Omen,Geese Flying Backwards,Rome,Italia
566,Disaster,Plague,Britannia,Britannia
566,Disaster,Pillaged By Rome,Britannia,Britannia
566,Disaster,Fire,Germania,South Germania
566,Disaster,Plague,Germania,South Germania
566,Disaster,Pillaged By Rome,Germania,South Germania
567,Disaster,Plague,Rome,Italia
567,Disaster,Earthquake,Rome,Gallia
567,Omen,Three-Headed Baby,Persia,Central Persia
567,Omen,Moon Turns Red,Persia,North Persia
567,Disaster,Famine,Persia,North Persia
567,Disaster,Earthquake,Germania,South Germania
568,Omen,Rivers of Blood,Rome,Grecia
568,Disaster,Fire,Germania,North Germania
569,Omen,Black Dove,Rome,Italia
569,Omen,Black Dove,Rome,Grecia
569,Omen,Geese Flying Backwards,Persia,Central Persia
569,Omen,Black Dove,Persia,Outer Persia
569,Omen,Black Dove,Britannia,Britannia
569,Omen,Black Dove,Germania,North Germania
569,Omen,Black Dove,Germania,South Germania
570,Omen,Moon Turns Red,Persia,Central Persia
570,Omen,Moon Turns Red,Britannia,Britannia
570,Omen,Rivers of Blood,Germania,North Germania
570,Omen,Moon Turns Red,Germania,South Germania
571,Omen,Rivers of Blood,Rome,Grecia
571,Disaster,Plague,Persia,Central Persia
571,Disaster,Pillaged By Britannia,Germania,North Germania
571,Omen,Rivers of Blood,Germania,South Germania
572,Disaster,Plague,Persia,Outer Persia
573,Disaster,Plague,Rome,Grecia
575,Omen,Moon Turns Red,Persia,Outer Persia
576,Omen,Rivers of Blood,Persia,Central Persia
576,Disaster,Fire,Persia,Central Persia
576,Omen,Rivers of Blood,Germania,South Germania
577,Omen,Geese Flying Backwards,Rome,Italia
577,Omen,Three-Headed Baby,Persia,North Persia
578,Disaster,Famine,Rome,Italia
578,Omen,Geese Flying Backwards,Persia,Central Persia
579,Omen,Rivers of Blood,Rome,Italia
579,Disaster,Famine,Persia,Central Persia
580,Omen,Rivers of Blood,Rome,Italia
580,Omen,Three-Headed Baby,Rome,Gallia
580,Omen,Moon Turns Red,Persia,Outer Persia
580,Disaster,Pillaged By Rome,Persia,Outer Persia
580,Omen,Moon Turns Red,Germania,North Germania
581,Omen,Rivers of Blood,Rome,Italia
581,Omen,Moon Turns Red,Persia,Central Persia
581,Omen,Three-Headed Baby,Persia,North Persia
581,Omen,Rivers of Blood,Britannia,Britannia
581,Disaster,Plague,Germania,North Germania
582,Omen,Three-Headed Baby,Rome,Gallia
582,Omen,Moon Turns Red,Persia,Central Persia
582,Disaster,Plague,Persia,Central Persia
583,Disaster,Fire,Persia,Outer Persia
584,Disaster,Fire,Rome,Gallia
584,Omen,Moon Turns Red,Persia,Outer Persia
584,Omen,Three-Headed Baby,Germania,South Germania
585,Disaster,Plague,Persia,Outer Persia
585,Omen,Geese Flying Backwards,Britannia,Britannia
585,Disaster,Pillaged By Persia,Germania,North Germania
585,Disaster,Fire,Germania,South Germania
586,Omen,Moon Turns Red,Rome,Gallia
586,Omen,Rivers of Blood,Persia,North Persia
586,Omen,Rivers of Blood,Britannia,Britannia
586,Disaster,Famine,Britannia,Britannia
586,Disaster,Pillaged By Rome,Germania,South Germania
587,Omen,Rivers of Blood,Rome,Grecia
587,Disaster,Famine,Persia,North Persia
587,Disaster,Pillaged By Germania,Britannia,Britannia
587,Disaster,Pillaged By Persia,Germania,North Germania
588,Omen,Geese Flying Backwards,Persia,North Persia
588,Omen,Black Dove,Persia,North Persia
589,Omen,Geese Flying Backwards,Persia,Central Persia
589,Disaster,Famine,Persia,North Persia
589,Omen,Rivers of Blood,Germania,South Germania
589,Omen,Geese Flying Backwards,Germania,South Germania
590,Omen,Geese Flying Backwards,Persia,Central Persia
590,Disaster,Pillaged By Germania,Britannia,Britannia
590,Omen,Geese Flying Backwards,Germania,South Germania
591,Disaster,Fire,Rome,Italia
591,Omen,Three-Headed Baby,Rome,Grecia
591,Disaster,Famine,Persia,Central Persia
591,Disaster,Famine,Germania,South Germania
592,Omen,Geese Flying Backwards,Rome,Italia
592,Omen,Black Dove,Rome,Grecia
592,Disaster,Pillaged By Rome,Persia,Outer Persia
592,Omen,Moon Turns Red,Germania,South Germania
593,Omen,Black Dove,Rome,Italia
593,Omen,Black Dove,Rome,Grecia
593,Omen,Geese Flying Backwards,Persia,Outer Persia
593,Omen,Moon Turns Red,Persia,Outer Persia
593,Omen,Black Dove,Persia,Outer Persia
593,Omen,Black Dove,Persia,North Persia
593,Omen,Black Dove,Britannia,Britannia
593,Omen,Black Dove,Germania,South Germania
594,Omen,Moon Turns Red,Rome,Italia
594,Disaster,Famine,Rome,Italia
594,Omen,Geese Flying Backwards,Persia,Outer Persia
594,Disaster,Plague,Persia,Outer Persia
594,Omen,Moon Turns Red,Germania,North Germania
595,Omen,Sun Goes Dark,Rome,Italia
595,Omen,Black Dove,Rome,Italia
595,Disaster,Plague,Rome,Italia
595,Disaster,Fire,Rome,Grecia
595,Disaster,Plague,Rome,Grecia
595,Omen,Geese Flying Backwards,Persia,Outer Persia
595,Omen,Black Dove,Persia,North Persia
595,Omen,Rivers of Blood,Germania,North Germania
595,Disaster,Fire,Germania,North Germania
595,Disaster,Plague,Germania,North Germania
595,Omen,Black Dove,Germania,South Germania
596,Disaster,Pillaged By Germania,Rome,Italia
596,Omen,Moon Turns Red,Rome,Gallia
596,Disaster,Earthquake,Rome,Grecia
596,Disaster,Famine,Persia,Outer Persia
596,Disaster,Earthquake,Persia,Outer Persia
596,Disaster,Earthquake,Persia,North Persia
596,Disaster,Plague,Persia,North Persia
596,Disaster,Earthquake,Britannia,Britannia
596,Disaster,Earthquake,Germania,North Germania
596,Disaster,Earthquake,Germania,South Germania
597,Disaster,Plague,Rome,Gallia
597,Disaster,Famine,Persia,Central Persia
597,Disaster,Plague,Persia,Central Persia
597,Omen,Moon Turns Red,Persia,North Persia
598,Omen,Black Dove,Rome,Italia
598,Omen,Black Dove,Rome,Grecia
598,Omen,Black Dove,Persia,Outer Persia
598,Disaster,Earthquake,Persia,North Persia
598,Omen,Black Dove,Britannia,Britannia
598,Omen,Black Dove,Germania,North Germania
598,Disaster,Plague,Germania,South Germania
599,Omen,Geese Flying Backwards,Rome,Italia
599,Omen,Moon Turns Red,Rome,Gallia
599,Omen,Geese Flying Backwards,Persia,Central Persia
599,Omen,Moon Turns Red,Persia,Central Persia
599,Omen,Geese Flying Backwards,Persia,Outer Persia
600,Disaster,Famine,Persia,Central Persia
600,Disaster,Famine,Persia,Outer Persia
600,Disaster,Pillaged By Rome,Germania,South Germania
601,Disaster,Fire,Rome,Italia
601,Omen,Geese Flying Backwards,Persia,Outer Persia
602,Omen,Geese Flying Backwards,Persia,Outer Persia
603,Omen,Geese Flying Backwards,Rome,Italia
603,Omen,Geese Flying Backwards,Persia,North Persia
603,Disaster,Pillaged By Persia,Germania,North Germania
604,Disaster,Famine,Rome,Italia
604,Omen,Moon Turns Red,Persia,Central Persia
604,Disaster,Famine,Persia,Central Persia
604,Omen,Geese Flying Backwards,Persia,North Persia
604,Omen,Flaming Comet,Britannia,Britannia
605,Disaster,Pillaged By Persia,Rome,Grecia
605,Disaster,Plague,Persia,Central Persia
605,Disaster,Famine,Persia,Outer Persia
605,Disaster,Pillaged By Germania,Britannia,Britannia
606,Disaster,Plague,Persia,Outer Persia
606,Disaster,Famine,Persia,North Persia
606,Disaster,Plague,Persia,North Persia
607,Disaster,Earthquake,Persia,Central Persia
607,Disaster,Earthquake,Persia,North Persia
607,Disaster,Pillaged By Rome,Britannia,Britannia
607,Disaster,Fire,Germania,North Germania
607,Disaster,Plague,Germania,North Germania
607,Omen,Moon Turns Red,Germania,South Germania
608,Omen,Moon Turns Red,Persia,North Persia
608,Disaster,Earthquake,Germania,South Germania
609,Omen,Rivers of Blood,Rome,Italia
609,Disaster,Famine,Persia,North Persia
610,Disaster,Pillaged By Germania,Persia,North Persia
611,Omen,Moon Turns Red,Rome,Italia
611,Omen,Three-Headed Baby,Rome,Grecia
612,Omen,Rivers of Blood,Rome,Italia
612,Disaster,Plague,Rome,Italia
612,Omen,Geese Flying Backwards,Persia,Outer Persia
612,Omen,Geese Flying Backwards,Britannia,Britannia
612,Omen,Moon Turns Red,Germania,North Germania
613,Omen,Rivers of Blood,Persia,Central Persia
613,Omen,Geese Flying Backwards,Persia,North Persia
613,Disaster,Famine,Britannia,Britannia
614,Omen,Geese Flying Backwards,Persia,North Persia
615,Disaster,Famine,Persia,North Persia
615,Disaster,Pillaged By Persia,Germania,North Germania
616,Omen,Three-Headed Baby,Rome,Gallia
616,Disaster,Fire,Rome,Grecia
616,Disaster,Pillaged By Persia,Rome,Grecia
616,Disaster,Fire,Persia,Central Persia
617,Disaster,Earthquake,Rome,Italia
617,Disaster,Earthquake,Persia,Outer Persia
617,Omen,Rivers of Blood,Germania,North Germania
618,Disaster,Pillaged By Germania,Rome,Gallia
618,Omen,Geese Flying Backwards,Rome,Grecia
618,Omen,Three-Headed Baby,Britannia,Britannia
618,Disaster,Pillaged By Rome,Britannia,Britannia
619,Omen,Three-Headed Baby,Rome,Gallia
619,Omen,Rivers of Blood,Persia,North Persia
619,Omen,Rivers of Blood,Germania,North Germania
621,Omen,Geese Flying Backwards,Rome,Grecia
621,Omen,Three-Headed Baby,Germania,South Germania
621,Omen,Rivers of Blood,Germania,South Germania
622,Omen,Rivers of Blood,Rome,Italia
622,Disaster,Pillaged By Britannia,Rome,Gallia
622,Disaster,Fire,Germania,North Germania
622,Disaster,Pillaged By Britannia,Germania,North Germania
622,Omen,Three-Headed Baby,Germania,South Germania
623,Omen,Moon Turns Red,Rome,Italia
623,Omen,Moon Turns Red,Rome,Grecia
623,Disaster,Fire,Germania,South Germania
623,Disaster,Earthquake,Germania,South Germania
624,Disaster,Plague,Rome,Italia
624,Omen,Three-Headed Baby,Rome,Gallia
624,Omen,Rivers of Blood,Germania,North Germania
624,Omen,Geese Flying Backwards,Germania,South Germania
625,Disaster,Fire,Rome,Gallia
625,Omen,Rivers of Blood,Rome,Grecia
625,Omen,Moon Turns Red,Germania,North Germania
625,Disaster,Pillaged By Persia,Germania,North Germania
625,Omen,Moon Turns Red,Germania,South Germania
625,Disaster,Pillaged By Rome,Germania,South Germania
626,Omen,Sun Goes Dark,Persia,Central Persia
626,Omen,Three-Headed Baby,Persia,Outer Persia
626,Omen,Moon Turns Red,Britannia,Britannia
626,Disaster,Famine,Britannia,Britannia
626,Disaster,Plague,Germania,South Germania
627,Omen,Rivers of Blood,Rome,Italia
627,Omen,Rivers of Blood,Rome,Gallia
627,Omen,Moon Turns Red,Rome,Gallia
627,Omen,Rivers of Blood,Persia,North Persia
627,Disaster,Plague,Britannia,Britannia
628,Disaster,Plague,Rome,Gallia
628,Omen,Three-Headed Baby,Rome,Grecia
628,Omen,Moon Turns Red,Rome,Grecia
628,Omen,Black Dove,Rome,Grecia
628,Omen,Black Dove,Persia,Central Persia
628,Omen,Black Dove,Persia,Outer Persia
628,Omen,Rivers of Blood,Persia,North Persia
628,Omen,Black Dove,Persia,North Persia
628,Omen,Black Dove,Britannia,Britannia
628,Disaster,Pillaged By Rome,Germania,South Germania
629,Disaster,Plague,Rome,Grecia
629,Omen,Three-Headed Baby,Persia,Central Persia
630,Disaster,Plague,Rome,Italia
630,Disaster,Fire,Persia,North Persia
630,Omen,Three-Headed Baby,Britannia,Britannia
630,Omen,Moon Turns Red,Germania,North Germania
631,Omen,Rivers of Blood,Rome,Italia
631,Disaster,Fire,Rome,Gallia
631,Omen,Rivers of Blood,Persia,North Persia
631,Omen,Geese Flying Backwards,Persia,North Persia
631,Disaster,Plague,Germania,North Germania
632,Disaster,Pillaged By Britannia,Rome,Gallia
632,Omen,Black Dove,Persia,Outer Persia
632,Omen,Moon Turns Red,Persia,North Persia
632,Disaster,Famine,Persia,North Persia
632,Omen,Sun Goes Dark,Britannia,Britannia
632,Omen,Black Dove,Britannia,Britannia
632,Omen,Geese Flying Backwards,Germania,South Germania
633,Omen,Geese Flying Backwards,Persia,Outer Persia
633,Omen,Rivers of Blood,Britannia,Britannia
633,Disaster,Famine,Germania,South Germania
634,Omen,Rivers of Blood,Rome,Gallia
634,Disaster,Pillaged By Britannia,Rome,Gallia
634,Disaster,Pillaged By Persia,Rome,Grecia
634,Omen,Geese Flying Backwards,Persia,North Persia
634,Disaster,Pillaged By Britannia,Germania,North Germania
635,Omen,Three-Headed Baby,Germania,South Germania
635,Omen,Rivers of Blood,Germania,South Germania
636,Disaster,Famine,Persia,North Persia
637,Omen,Rivers of Blood,Rome,Grecia
637,Disaster,Fire,Persia,Outer Persia
637,Disaster,Fire,Britannia,Britannia
637,Disaster,Pillaged By Rome,Britannia,Britannia
637,Omen,Moon Turns Red,Germania,South Germania
638,Disaster,Earthquake,Rome,Gallia
638,Omen,Geese Flying Backwards,Rome,Grecia
638,Omen,Three-Headed Baby,Persia,Central Persia
638,Omen,Rivers of Blood,Persia,North Persia
638,Disaster,Earthquake,Britannia,Britannia
638,Disaster,Earthquake,Germania,North Germania
639,Omen,Moon Turns Red,Rome,Gallia
639,Omen,Geese Flying Backwards,Rome,Grecia
639,Omen,Rivers of Blood,Persia,Central Persia
639,Omen,Geese Flying Backwards,Persia,Outer Persia
639,Disaster,Pillaged By Germania,Britannia,Britannia
640,Disaster,Famine,Rome,Grecia
640,Omen,Geese Flying Backwards,Persia,Outer Persia
641,Disaster,Pillaged By Rome,Britannia,Britannia
642,Disaster,Fire,Persia,Central Persia
642,Omen,Rivers of Blood,Germania,North Germania
643,Disaster,Fire,Rome,Italia
643,Disaster,Pillaged By Persia,Rome,Grecia
644,Disaster,Pillaged By Germania,Britannia,Britannia
644,Omen,Rivers of Blood,Germania,South Germania
645,Disaster,Pillaged By Germania,Rome,Gallia
645,Omen,Geese Flying Backwards,Rome,Grecia
645,Omen,Rivers of Blood,Germania,South Germania
646,Omen,Rivers of Blood,Rome,Italia
646,Omen,Rivers of Blood,Persia,Outer Persia
646,Omen,Geese Flying Backwards,Persia,North Persia
647,Omen,Rivers of Blood,Persia,Central Persia
648,Omen,Rivers of Blood,Rome,Italia
648,Disaster,Fire,Rome,Grecia
648,Disaster,Fire,Persia,Central Persia
649,Disaster,Pillaged By Rome,Britannia,Britannia
650,Omen,Three-Headed Baby,Rome,Italia
651,Disaster,Fire,Persia,Outer Persia
651,Omen,Rivers of Blood,Persia,North Persia
651,Disaster,Fire,Persia,North Persia
651,Disaster,Pillaged By Rome,Britannia,Britannia
652,Omen,Rivers of Blood,Persia,Central Persia
652,Omen,Three-Headed Baby,Germania,North Germania
653,Omen,Moon Turns Red,Persia,Central Persia
653,Omen,Three-Headed Baby,Persia,Outer Persia
653,Disaster,Fire,Germania,North Germania
654,Omen,Moon Turns Red,Rome,Gallia
654,Omen,Moon Turns Red,Rome,Grecia
654,Disaster,Plague,Persia,Central Persia
654,Omen,Moon Turns Red,Germania,South Germania
655,Disaster,Plague,Rome,Grecia
655,Omen,Rivers of Blood,Persia,Central Persia
655,Disaster,Plague,Persia,Outer Persia
655,Omen,Rivers of Blood,Germania,North Germania
656,Omen,Rivers of Blood,Rome,Italia
656,Disaster,Plague,Rome,Italia
656,Disaster,Pillaged By Germania,Persia,North Persia
656,Omen,Rivers of Blood,Britannia,Britannia
656,Disaster,Pillaged By Rome,Germania,South Germania
657,Omen,Three-Headed Baby,Rome,Gallia
657,Disaster,Famine,Persia,Central Persia
657,Disaster,Fire,Britannia,Britannia
657,Disaster,Plague,Germania,South Germania
658,Omen,Rivers of Blood,Persia,Outer Persia
658,Disaster,Plague,Germania,North Germania
659,Disaster,Famine,Persia,Central Persia
660,Disaster,Fire,Rome,Italia
660,Omen,Three-Headed Baby,Rome,Gallia
660,Disaster,Pillaged By Rome,Persia,Outer Persia
660,Disaster,Pillaged By Rome,Germania,South Germania
662,Omen,Rivers of Blood,Britannia,Britannia
664,Disaster,Fire,Persia,Outer Persia
665,Omen,Flaming Comet,Rome,Grecia
666,Disaster,Fire,Rome,Gallia
666,Omen,Moon Turns Red,Rome,Grecia
666,Omen,Moon Turns Red,Persia,Outer Persia
666,Omen,Moon Turns Red,Britannia,Britannia
666,Omen,Geese Flying Backwards,Germania,South Germania
667,Omen,Three-Headed Baby,Rome,Grecia
667,Omen,Three-Headed Baby,Germania,South Germania
667,Omen,Geese Flying Backwards,Germania,South Germania
668,Omen,Geese Flying Backwards,Germania,North Germania
668,Omen,Geese Flying Backwards,Germania,South Germania
670,Omen,Three-Headed Baby,Persia,North Persia
672,Disaster,Fire,Britannia,Britannia
673,Omen,Three-Headed Baby,Rome,Grecia
673,Omen,Rivers of Blood,Persia,North Persia
673,Omen,Rivers of Blood,Germania,North Germania
673,Omen,Geese Flying Backwards,Germania,North Germania
674,Omen,Rivers of Blood,Rome,Gallia
674,Disaster,Pillaged By Germania,Britannia,Britannia
674,Omen,Moon Turns Red,Germania,North Germania
674,Disaster,Famine,Germania,North Germania
675,Omen,Three-Headed Baby,Rome,Grecia
675,Omen,Rivers of Blood,Persia,Central Persia
675,Omen,Geese Flying Backwards,Germania,North Germania
675,Omen,Three-Headed Baby,Germania,South Germania
676,Omen,Three-Headed Baby,Rome,Grecia
676,Omen,Moon Turns Red,Germania,South Germania
677,Omen,Black Dove,Rome,Italia
677,Omen,Black Dove,Rome,Gallia
677,Disaster,Fire,Rome,Grecia
677,Omen,Black Dove,Persia,Central Persia
677,Omen,Moon Turns Red,Persia,Outer Persia
677,Omen,Three-Headed Baby,Persia,North Persia
677,Omen,Black Dove,Persia,North Persia
677,Disaster,Fire,Persia,North Persia
677,Omen,Black Dove,Germania,North Germania
677,Omen,Black Dove,Germania,South Germania
678,Omen,Moon Turns Red,Rome,Grecia
678,Omen,Three-Headed Baby,Persia,Central Persia
678,Omen,Three-Headed Baby,Persia,Outer Persia
678,Omen,Moon Turns Red,Persia,Outer Persia
678,Omen,Geese Flying Backwards,Germania,North Germania
679,Omen,Rivers of Blood,Rome,Italia
679,Omen,Moon Turns Red,Persia,Outer Persia
679,Disaster,Plague,Persia,Outer Persia
680,Disaster,Plague,Rome,Grecia
680,Omen,Moon Turns Red,Germania,North Germania
681,Disaster,Plague,Germania,North Germania
682,Omen,Rivers of Blood,Rome,Grecia
682,Omen,Moon Turns Red,Persia,Central Persia
682,Omen,Rivers of Blood,Persia,North Persia
682,Disaster,Pillaged By Rome,Germania,South Germania
683,Omen,Rivers of Blood,Rome,Gallia
683,Disaster,Plague,Persia,Central Persia
683,Disaster,Pillaged By Rome,Persia,Outer Persia
683,Omen,Moon Turns Red,Persia,North Persia
684,Omen,Rivers of Blood,Rome,Gallia
684,Disaster,Fire,Rome,Gallia
684,Omen,Rivers of Blood,Persia,North Persia
684,Disaster,Fire,Britannia,Britannia
684,Omen,Black Dove,Germania,South Germania
684,Disaster,Fire,Germania,South Germania
685,Omen,Moon Turns Red,Rome,Italia
685,Disaster,Pillaged By Persia,Germania,North Germania
685,Disaster,Fire,Germania,South Germania
686,Omen,Rivers of Blood,Persia,North Persia
687,Omen,Three-Headed Baby,Rome,Italia
687,Omen,Three-Headed Baby,Persia,Central Persia
688,Omen,Three-Headed Baby,Rome,Italia
688,Omen,Moon Turns Red,Britannia,Britannia
688,Disaster,Famine,Germania,North Germania
689,Omen,Three-Headed Baby,Rome,Italia
689,Omen,Black Dove,Rome,Grecia
689,Omen,Black Dove,Persia,Outer Persia
689,Omen,Black Dove,Persia,North Persia
689,Omen,Black Dove,Britannia,Britannia
689,Omen,Black Dove,Germania,North Germania
